PID,NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
255075609,아이폰13미니 128gb 풀박,380000,https://media.bunjang.co.kr/product/255075609_1_1709190653_w{res}.jpg,경기도 수원시 장안구 조원1동,1709190653
254579614,(특s급) 아이폰13미니 128g 레드 배터리91% 50만원판매해요@@@,490000,https://media.bunjang.co.kr/product/254579614_1_1710028557_w{res}.jpg,서울특별시 금천구 가산동,1710463329
254078987,아이폰13 128gb,500000,https://media.bunjang.co.kr/product/254078987_1_1708502702_w{res}.jpg,강원특별자치도 춘천시 후평3동,1708502687
254167637,아이폰 13미니 128g,360000,https://media.bunjang.co.kr/product/254167637_1_1720545683_w{res}.jpg,충청남도 공주시 신관동,1708568464
254522972,아이폰 13프로 128기가 자급제,700000,https://media.bunjang.co.kr/product/254522972_1_1712310475_w{res}.jpg,대전광역시 대덕구 중리동,1708798962
273850277,[긴급]s급 아이폰14프로(256g)마지막1대(급처분),970000,https://media.bunjang.co.kr/product/273850277_1_1718872639_w{res}.jpg,경기도 부천시 원미구 상동,1720675462
278019565,"아이폰 14, 블랙, 256gb, 자급제",880000,https://media.bunjang.co.kr/product/278019565_1_1720324883_w{res}.jpg,서울특별시 구로구 구로제5동,1720670009
229032018,(애케플+)아이폰14프로맥스 1tb 1테라 / ios 16.4.1 판매,1400000,https://media.bunjang.co.kr/product/229032018_1_1719673063_w{res}.jpg,서울특별시 은평구 증산동,1720674592
262810897,아이폰14pro 256g 딥퍼플 ss,930000,https://media.bunjang.co.kr/product/262810897_1_1720479722_w{res}.jpg,서울특별시 서초구 반포본동,1720669559
278918185,아이폰 14프로 퍼플 256 애케플 팝니다 자급제,1100000,https://media.bunjang.co.kr/product/278918185_1_1720667676_w{res}.jpg,서울특별시 중랑구 면목제3.8동,1720667676
277809158,아이폰14프로 256기가 블랙,950000,https://media.bunjang.co.kr/product/277809158_1_1720248000_w{res}.jpg,경기도 화성시 비봉면,1720668249
278888692,아이폰 14pro 퍼플 256gb(배터리 98%),950000,https://media.bunjang.co.kr/product/278888692_1_1720658471_w{res}.jpg,대구광역시 북구 국우동,1720650615
275708309,아이폰14프로 256gb 블랙 a급 92.9만원 [24168],929000,https://media.bunjang.co.kr/product/275708309_1_1719498426_w{res}.jpg,서울특별시 광진구 자양제3동,1719803821
276554157,액정/외관깨끗 아이폰14 배터리성능94% 화이트 256gb 01448,770000,https://media.bunjang.co.kr/product/276554157_1_1720406261_w{res}.jpg,울산광역시 남구 삼산동,1719801669
276554086,액정/외관깨끗 아이폰14 배터리성능94% 화이트 256gb 01448,770000,https://media.bunjang.co.kr/product/276554086_1_1720406285_w{res}.jpg,울산광역시 남구 삼산동,1719801647
275707641,배터리100%! 아이폰14프로 256gb s급 96.9만원 [00259],969000,https://media.bunjang.co.kr/product/275707641_1_1719498255_w{res}.jpg,서울특별시 광진구 자양제3동,1719803874
273992929,apple 아이폰14 512gb 블랙 스타라이트 개통용 공시지원 기기변경,1070000,https://media.bunjang.co.kr/product/273992929_1_1718934471_w{res}.jpg,서울특별시 송파구 장지동,1719988293
276000095,액정/외관깨끗 아이폰14 배터리성능86% 화이트 256gb 21487,770000,https://media.bunjang.co.kr/product/276000095_1_1719624929_w{res}.jpg,울산광역시 남구 삼산동,1719624929
275067107,아이폰14프로 256기가 재부팅하자있음판매합니다,650000,https://media.bunjang.co.kr/product/275067107_1_1719287888_w{res}.jpg,서울특별시 은평구 응암제3동,1719886607
271921503,"실 사용, a급)아이폰 14 플러스 스타라이트 256gb 판매합니다",900000,https://media.bunjang.co.kr/product/271921503_1_1718275480_w{res}.jpg,서울특별시 광진구 광장동,1719737463
276000009,액정/외관깨끗 아이폰14 배터리성능86% 화이트 256gb 21487,770000,https://media.bunjang.co.kr/product/276000009_1_1719624903_w{res}.jpg,울산광역시 남구 삼산동,1719624903
262928072,아이폰14 256g 미개봉 자급제 새제품 판매합니다.,960000,https://media.bunjang.co.kr/product/262928072_1_1715305881_w{res}.jpg,서울특별시 성북구 정릉제1동,1715305881
261996488,아이폰14프로256,900000,https://media.bunjang.co.kr/product/261996488_1_1714556699_w{res}.jpg,경상남도 양산시 물금읍,1714556699
262898642,아이폰 14프로 256기가 실버 판매해요.,990000,https://media.bunjang.co.kr/product/262898642_1_1715263238_w{res}.jpg,경상남도 창원시 의창구 대산면,1715263238
