data_pid,location,price,time,title,month,brand,series,model,storage,coment
,        경북 포항시 북구 덕수동      ,320000,,아이폰11 128g 판매합니다,,애플,아이폰 11,regular,128,"박스, 이어폰 있습니다
충전기는 없어요 ㅜㅜ
밧데리 성능 85%
위부분 약간찍힘있습니다"
,        충북 청주시 서원구 분평동      ,150000,,아이폰 11 퍼플 128gb,,애플,아이폰 11,regular,128,"2월달에 사설에서 배터리 교체했습니다
액정 깨짐 있습니자 사진 참고해주세요"
,        서울 영등포구 여의도동      ,290000,,아이폰11 128기가 민트색,,애플,아이폰 11,regular,128,"아이폰11 128기가 민트색

1.모든 관리,ifc 애플스토어에서 진행 수리불필요 판정
2.skt 사용 후 로그아웃진행 공기계상태
3.구입 후 바로 전신풀커버필름 사용하여 벗기면 새상품 그대로임.  그 위에 케이스 작창 사용함

하자(사진참고)
1.유리 모서리 끝 쓸림 자국 있음
2.배터리효율 77~78%(아침부터 저녁까지 충분히 사용했음)

지난 주 까지 사용하던 폰 입니다.
거래시 중고상품임을 구매자 동의로 간주 하며 반품,수리비요구 등 일체 수용안합니다.
이 상품은 실사용 하던 중고 상품 입니다.

거래는 여의도 kbs별관 직거래 
택배거래(무료)-입금자와 받으시는분 성함일치시 가능

궁금하신사항  채팅주세요~"
,        서울 영등포구 여의도동      ,190000,,아이폰11 64기가 블랙,,애플,아이폰 11,pro,64,"아이폰11 64기가 블랙

1.액정 이슈로 새 액정으로 무상교환
2.정품 배터리 교환(현재 85프로)
3.모든 관리,수리 ifc 애플스토어에서 진행
4.유플러스 사용 후 로그아웃진행 공기계상태

하자(사진참고)
1.모서리 까짐 있음
2.페이스아이디 인식 고장 (숫자비번으로 사용함)

지난 달 까지 사용하던 폰 입니다.
거래시 중고상품임을 구매자 동의로 간주 하며 반품,수리비요구 등 일체 수용안합니다.
이 상품은 실사용 하던 중고 상품 입니다.

거래는 여의도 kbs별관 직거래 
택배거래(무료)-입금자와 받으시는분 성함일치시 가능

궁금하신사항  채팅 으로 문의주세요^^"
,        충남 천안시 서북구 두정동      ,310000,,아이폰11 pro 64기가 판매합니다!(네고x),,애플,아이폰 11,pro,64,"액정 깨짐, 찍힘등 전혀없는 깨끗한 상태, Face ID, 카메라 다 정상동작합니다. 배터리 효율은 82%입니다. 구성품은 충전기 제외 풀박스 액정보호필름 1매, 투명케이스 1개입니다. 가격 제안하지 말아주세요. 물리버튼 쪽에 약간에 스크래치는 있습니다."
,        제주 제주시 용담2동      ,600000,,아이폰 11프로맥스,,애플,아이폰 11,pro max,256,"배터리 92 프로
오늘 액정이 깨져서 정품액정으로 바꾸고 왔어요. 
뒷면 등 흠집하나 없이ㅡ새상품 같아요.
연락주세여.

256기가"
,        서울 용산구 한강로동      ,430000,,아이폰 11 프로 256기가 ios14.8.1 빠르게 팝니당,,애플,아이폰 11,pro,256,"아이폰 11 프로 iOS14.8.1 빠르게 팔아요!

배터리 오래 가고 아이폰 치고 화면이 커서 편했어요:)"
,        서울 영등포구 당산동3가      ,200000,,아이폰11 팝니다,,애플,아이폰 11,regular,64,"아이폰 11 64GB 급하게 팝니다.
카메라 렌즈 깨졌지만 사진찍는데 문제는 전혀 없습니다. 
배터리 효율은 79%입니다."
,        경기도 파주시 문산읍      ,270000,,아이폰 11 128g 판매해요,,애플,아이폰 11,regular,128,"아이폰 11  판매합니다
최근에 아이폰 15로 변경했어요
상태는 보통인거 같습니다

다른건 드릴께 없고 젤리케이스와
알리에서 구매했던 명품케이스
같이 드릴께요

명품케이스는 사진 참조하세요
"
,        경북 안동시 서후면      ,240000,,아이폰11pro,,애플,아이폰 11,pro,0,"아이폰11프로 상태 아주 좋습니다 배터리 73

"
,        전북 익산시 금마면      ,290000,,아이폰11프로 256g,,애플,아이폰 11,pro,256,"11프로 256G 미드나잇 그린.
수리 이력 없구요~ 액정 스크래치 없고 깨끗합니다.
스피커 쪽은 먼지 제거 해주셔야 합니다."
,        경기도 의정부시 신곡1동      ,300000,,아이폰 11 프로,,애플,아이폰 11,pro,256,"아이폰 11프로 256GB 팝니다.
생활기스 약간 있지만 사용하는데 문제 없습니다 
작동하는데 문제없고 배터리성능 78%입니다 수리전적없고 깨끗하게 사용했습니다.
거래는 의정부 민락동 직거래 가능합니다."
,        강원도 삼척시 정상동      ,450000,,아이폰11프로,,애플,아이폰 11,pro,0,실버화이트(깨끗해요잔기스없어요)충전기에덥터핸드폰커버포함이예요
,        충북 청주시 흥덕구 비하동      ,280000,,아이폰 11프로64기가,,애플,아이폰 11,pro,64,"배터리 성능 71
이어폰 새거 , 상자있어요

사진에서 같이 테두리 먼지 잔기스 있고
케이스, 필름은 항상하고다녀서 액정 깨끗하고 뒷면도 깨끗해요 
액정필름은 서비스센터에서 초기화하려고(민팁)뗐어요"
,        대전 중구 산성동      ,220000,,"아이폰 11프로 256 ,78%",,애플,아이폰 11,pro,256,"배터리 78%
밑에 깨짐
전면 액정 1cm정도 기스
기능 카메라 하자 없습니다

문성초 근처 네고 x"
,        서울 서초구 양재동      ,230000,,(공기계/외관깨끗) 아이폰11pro 미드나잇그린64gb,,애플,아이폰 11,pro,64,"아이폰 11pro 미드나잇그린 64gb 입니다!
물건 험하게 안써서 케이스 매번 착용했구요
사진용으로 쓰다가 여행경비에 보태려고 내놓습니다.

사진 상 약간의 생활기스?고 떨어뜨린적 한번도 없고 깨짐/ 기스없습니다. 이건 구매하실때 확인 가능하시구요. 

하나 좀 아쉬운건 화면상 오른쪽 배터리 표시부분이 화면이 먹어서 안보여요 ㅠ 떨어뜨린건 없는데 애플공식 서비스센터에서도 잘모르겠다고 했어요… 쨋든 사진찍을때나 사용할때 큰 어려움은 없어서 계속 사용했었어요! 감안하고 구매해주세요~~ 
(사진 상 표시되어있음) 

중고 특성상 교환이나 환불 불가합니다
신중하게 구매부탁드려요!"
,        부산 북구 화명동      ,320000,,아이폰11프로 (11pro) 스페이스그레이 64기가,,애플,아이폰 11,pro,64,"아이폰11프로 (11pro) 스페이스 그레이 64gb구요
15로 넘어가서 팝니다
기스 찍힘 전혀없이 상태 정말 좋습니다
사진 더 필요하다하심 보내드려요
필름은 뗀상태라 따로 구매해서 붙이시면 됩니다
초기화완료, 배터리성능 82%

직거래, 택배 다 가능
네고 문의 안받아요 하실분만 연락주세용

-직거래 수정역 or 화명미즈웰산부인과앞
-반택+1800, 일택+3500"
