data_pid,location,price,time,title,month,brand,series,model,storage
274001207,지역정보 없음,240000,2024-06-20 20:14:32,(1600)갤럭시s22 256gb 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
273887682,지역정보 없음,430000,2024-06-20 20:14:32,[s급] 갤럭시 s22 플러스 핑크골드 256기가,29,삼성,갤럭시 S22,plus,256
274100698,지역정보 없음,509000,2024-06-20 20:14:32,(3960)갤럭시s22울트라 256 깨끗한기기 판매,29,삼성,갤럭시 S22,Ultra,256
274092927,지역정보 없음,309000,2024-06-20 20:14:32,(2205)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
266445086,울산광역시 남구 신정5동,290000,2024-06-20 20:14:32,갤럭시s22 (s901) 256기가 핑크 무잔상,29,삼성,갤럭시 S22,regular,256
274010884,지역정보 없음,447000,2024-06-20 20:14:32,[미세잔상] 갤럭시s22울트라 256g 블랙 lg #보증남음,29,삼성,갤럭시 S22,Ultra,256
268686036,인천광역시 서구 가좌2동,350000,2024-06-20 20:14:32,갤럭시s22 a급 s901 256g 핑크 인천 중고폰매장,29,삼성,갤럭시 S22,regular,256
274018042,울산광역시 중구 중앙동,528000,2024-06-20 20:14:32,무잔상 갤럭시s22울트라 (s908) 블랙 256gb 판매 27677,29,삼성,갤럭시 S22,Ultra,256
274034434,지역정보 없음,644000,2024-06-20 20:14:32,[센터리퍼/영수증o] 갤럭시s22울트라 256g 화이트 sk #보증남음,29,삼성,갤럭시 S22,Ultra,256
272829951,인천광역시 부평구 부개1동,280000,2024-06-20 20:14:32,갤럭시s22 핑크 256gb 중고폰 kt공기계 최저가 당일발송,29,삼성,갤럭시 S22,regular,256
270172872,지역정보 없음,500000,2024-06-19 20:14:32,갤럭시 s22 울트라 256gb,29,삼성,갤럭시 S22,Ultra,256
273774426,경기도 수원시 영통구 광교1동,400000,2024-06-19 20:14:32,갤럭시s22플러스 256g 그린,29,삼성,갤럭시 S22,plus,256
273720734,경기도 이천시 중리동,340000,2024-06-19 20:14:32,갤럭시s22 울트라 512 판매,29,삼성,갤럭시 S22,Ultra,512
273697416,지역정보 없음,200000,2024-06-19 20:14:32,갤럭시s22울트라 256기가,29,삼성,갤럭시 S22,Ultra,256
273074966,인천광역시 서구 청라1동,550000,2024-06-19 20:14:32,갤럭시s22울트라 256g 블랙 s급!,29,삼성,갤럭시 S22,Ultra,256
273764887,지역정보 없음,320000,2024-06-19 20:14:32,(2740)갤럭시s22 256gb 무잔상 판매,29,삼성,갤럭시 S22,regular,256
273851477,대구광역시 서구 평리4동,300000,2024-06-19 20:14:32,갤럭시 s22플러스 그린 256g 무잔상,29,삼성,갤럭시 S22,plus,256
273830520,지역정보 없음,340000,2024-06-19 20:14:32,(2759)갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
273813062,지역정보 없음,420000,2024-06-19 20:14:32,(3403)갤럭시s22울트라 256 판매합니다,29,삼성,갤럭시 S22,Ultra,256
264355493,지역정보 없음,620000,2024-06-19 20:14:32,[리퍼폰 no.12] 갤럭시s22 울트라 512gb 리퍼폰,29,삼성,갤럭시 S22,Ultra,512
273815103,지역정보 없음,499000,2024-06-19 20:14:32,(3900)갤럭시s22울트라 256 판매합니다,29,삼성,갤럭시 S22,Ultra,256
273801851,지역정보 없음,299000,2024-06-19 20:14:32,(2105)갤럭시s22울트라 256 판매합니다,29,삼성,갤럭시 S22,Ultra,256
272172858,경기도 성남시 분당구 서현1동,290000,2024-06-19 20:14:32,갤럭시 s22 그린 256gb 중고 판매합니다,29,삼성,갤럭시 S22,regular,256
273788537,지역정보 없음,320000,2024-06-19 20:14:32,(2470)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
273814131,지역정보 없음,279000,2024-06-19 20:14:32,(1949)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
273809427,지역정보 없음,309000,2024-06-19 20:14:32,(2302)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
273763827,지역정보 없음,309000,2024-06-19 20:14:32,(2432)갤럭시s22 256gb 무잔상 판매합니다,29,삼성,갤럭시 S22,regular,256
272416342,울산광역시 북구 효문동,340000,2024-06-19 20:14:32,갤럭시s22 (s901) 256기가 화이트 무잔상 a급,29,삼성,갤럭시 S22,regular,256
273823616,지역정보 없음,320000,2024-06-19 20:14:32,(2497)갤럭시s22 256gb 무잔상 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
273812198,지역정보 없음,320000,2024-06-19 20:14:32,(2406)갤럭시s22 256gb 무잔상 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
273766770,지역정보 없음,620000,2024-06-19 20:14:32,[ss급/무잔상] 갤럭시s22울트라 512g 화이트 sk #액정깨끗,29,삼성,갤럭시 S22,Ultra,512
273585015,경상북도 안동시 옥동,240000,2024-06-18 20:14:32,갤럭시s22 256gb b급,29,삼성,갤럭시 S22,regular,256
271629887,부산광역시 남구 용호제2동,300000,2024-06-18 20:14:32,갤럭시s22 / 블랙 / 256g,29,삼성,갤럭시 S22,regular,256
273320687,인천광역시 부평구 부평6동,309000,2024-06-18 20:14:32,갤럭시s22 256gb 블랙,29,삼성,갤럭시 S22,regular,256
273608277,지역정보 없음,366000,2024-06-18 20:14:33,갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
267438203,지역정보 없음,400000,2024-06-18 20:14:33,[리퍼폰 no.16] 갤럭시s22 256gb 리퍼폰,29,삼성,갤럭시 S22,regular,256
273579720,지역정보 없음,345000,2024-06-18 20:14:33,(2810)갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
273629986,지역정보 없음,359000,2024-06-18 20:14:33,(2702)갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
273572248,지역정보 없음,369000,2024-06-18 20:14:33,(3020)갤럭시s22플러스 256 무잔상 판매,29,삼성,갤럭시 S22,plus,256
269958287,부산광역시 동구 좌천동,390000,2024-06-18 20:14:33,s급 갤럭시s22플러스 그린 256기가 판매,29,삼성,갤럭시 S22,plus,256
273568220,지역정보 없음,560000,2024-06-18 20:14:33,s급 갤럭시s22울트라 5g 256g 화이트 (395),29,삼성,갤럭시 S22,Ultra,256
273489444,대전광역시 유성구 구즉동,280000,2024-06-18 20:14:33,갤럭시 s22 보라퍼플 256 자급제 공기기,29,삼성,갤럭시 S22,regular,256
273640921,지역정보 없음,320000,2024-06-18 20:14:33,(2400)갤럭시s22 256gb a급 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
273594698,경기도 평택시 신장2동,330000,2024-06-18 20:14:33,#할인가능 갤럭시s22플러스 256gb 그린 (무잔상) / 0618,29,삼성,갤럭시 S22,plus,256
268685617,인천광역시 서구 가좌2동,350000,2024-06-18 20:14:33,갤럭시s22 a급 s901 256g 핑크 인천 중고폰매장,29,삼성,갤럭시 S22,regular,256
273533927,지역정보 없음,289000,2024-06-18 20:14:33,(2154)갤럭시s22 256gb 무잔상 깨끗한기기 판매,29,삼성,갤럭시 S22,regular,256
